step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
154,stage1_layout,0.457740,0.340408,0.234662,5.00e-05,0.0767
155,stage1_layout,0.445977,0.329757,0.232441,5.00e-05,0.1363
156,stage1_layout,0.467149,0.346552,0.241193,5.00e-05,0.0685
157,stage1_layout,0.459909,0.340950,0.237919,5.00e-05,0.0833
158,stage1_layout,0.458110,0.337253,0.241713,5.00e-05,0.0810
159,stage1_layout,0.460165,0.340963,0.238404,5.00e-05,0.0836
160,stage1_layout,0.452623,0.335760,0.233725,5.00e-05,0.0695
161,stage1_layout,0.455664,0.338341,0.234648,5.00e-05,0.0757
162,stage1_layout,0.464811,0.343734,0.242155,5.00e-05,0.1120
163,stage1_layout,0.455636,0.337302,0.236668,5.00e-05,0.0844
164,stage1_layout,0.461079,0.342136,0.237886,5.00e-05,0.0994
165,stage1_layout,0.446494,0.329904,0.233180,5.00e-05,0.0827
166,stage1_layout,0.462307,0.343002,0.238610,5.00e-05,0.1139
167,stage1_layout,0.462520,0.342764,0.239513,5.00e-05,0.0766
168,stage1_layout,0.460156,0.341905,0.236501,5.00e-05,0.0645
169,stage1_layout,0.460523,0.340591,0.239863,5.00e-05,0.0695
170,stage1_layout,0.466613,0.345488,0.242249,5.00e-05,0.0643
171,stage1_layout,0.455418,0.338751,0.233333,5.00e-05,0.0945
172,stage1_layout,0.454578,0.337285,0.234587,5.00e-05,0.0904
173,stage1_layout,0.456217,0.338018,0.236398,5.00e-05,0.0967
174,stage1_layout,0.446220,0.330190,0.232060,5.00e-05,0.0732
175,stage1_layout,0.453689,0.335224,0.236930,5.00e-05,0.0680
176,stage1_layout,0.452385,0.335398,0.233974,5.00e-05,0.1016
177,stage1_layout,0.457360,0.340534,0.233651,5.00e-05,0.0697
178,stage1_layout,0.455240,0.337511,0.235459,5.00e-05,0.0844
179,stage1_layout,0.460660,0.339800,0.241721,5.00e-05,0.0979
180,stage1_layout,0.452396,0.335600,0.233591,5.00e-05,0.0948
181,stage1_layout,0.444504,0.328606,0.231796,5.00e-05,0.0894
182,stage1_layout,0.462967,0.343772,0.238389,5.00e-05,0.0669
183,stage1_layout,0.455637,0.336178,0.238916,5.00e-05,0.0816
184,stage1_layout,0.458914,0.341733,0.234364,5.00e-05,0.0890
185,stage1_layout,0.457062,0.338441,0.237241,5.00e-05,0.1000
186,stage1_layout,0.456688,0.339158,0.235058,5.00e-05,0.0716
187,stage1_layout,0.451769,0.335154,0.233229,5.00e-05,0.0792
188,stage1_layout,0.456132,0.338275,0.235715,5.00e-05,0.1166
189,stage1_layout,0.448358,0.333495,0.229724,5.00e-05,0.0723
190,stage1_layout,0.455886,0.338909,0.233955,5.00e-05,0.0742
191,stage1_layout,0.446759,0.330352,0.232813,5.00e-05,0.0690
192,stage1_layout,0.448587,0.332278,0.232617,5.00e-05,0.3033
193,stage1_layout,0.454161,0.337895,0.232533,5.00e-05,0.1194
194,stage1_layout,0.454805,0.338373,0.232865,5.00e-05,0.0992
195,stage1_layout,0.451198,0.334635,0.233125,5.00e-05,0.0984
196,stage1_layout,0.454424,0.337347,0.234155,5.00e-05,0.0737
197,stage1_layout,0.444529,0.328909,0.231240,5.00e-05,0.0670
198,stage1_layout,0.458288,0.340932,0.234712,5.00e-05,0.0765
199,stage1_layout,0.455369,0.338486,0.233767,5.00e-05,0.0681
200,stage1_layout,0.461625,0.343693,0.235865,5.00e-05,0.1137
201,stage1_layout,0.465438,0.343939,0.242996,5.00e-05,0.0928
202,stage1_layout,0.459036,0.340595,0.236882,5.00e-05,0.0785
203,stage1_layout,0.447034,0.331723,0.230622,5.00e-05,0.1474
204,stage1_layout,0.448543,0.333332,0.230423,5.00e-05,0.1177
205,stage1_layout,0.464550,0.345058,0.238985,5.00e-05,0.0847
206,stage1_layout,0.455192,0.339371,0.231642,5.00e-05,0.1023
207,stage1_layout,0.458631,0.339682,0.237897,5.00e-05,0.0908
208,stage1_layout,0.452813,0.335986,0.233654,5.00e-05,0.0765
209,stage1_layout,0.444549,0.330472,0.228152,5.00e-05,0.0781
210,stage1_layout,0.453155,0.337862,0.230587,5.00e-05,0.1841
211,stage1_layout,0.461616,0.342160,0.238912,5.00e-05,0.0921
212,stage1_layout,0.451403,0.334991,0.232824,5.00e-05,0.0790
213,stage1_layout,0.458610,0.341819,0.233582,5.00e-05,0.1006
214,stage1_layout,0.454456,0.337490,0.233932,5.00e-05,0.0721
215,stage1_layout,0.465146,0.346621,0.237050,5.00e-05,0.0720
216,stage1_layout,0.460093,0.342020,0.236146,5.00e-05,0.0882
217,stage1_layout,0.454771,0.338046,0.233451,5.00e-05,0.0827
218,stage1_layout,0.457866,0.341465,0.232801,5.00e-05,0.0815
219,stage1_layout,0.450867,0.335032,0.231671,5.00e-05,0.0864
220,stage1_layout,0.466468,0.347133,0.238671,5.00e-05,0.0723
221,stage1_layout,0.461799,0.342697,0.238203,5.00e-05,0.0885
222,stage1_layout,0.456432,0.338406,0.236053,5.00e-05,0.0998
223,stage1_layout,0.455059,0.337273,0.235572,5.00e-05,0.0984
224,stage1_layout,0.455069,0.338344,0.233452,5.00e-05,0.1312
225,stage1_layout,0.456367,0.339440,0.233854,5.00e-05,0.1163
226,stage1_layout,0.450504,0.334609,0.231789,5.00e-05,0.0876
227,stage1_layout,0.452389,0.334843,0.235092,5.00e-05,0.1157
228,stage1_layout,0.458943,0.341280,0.235324,5.00e-05,0.0980
229,stage1_layout,0.451396,0.334213,0.234367,5.00e-05,0.0863
230,stage1_layout,0.456983,0.339504,0.234958,5.00e-05,0.1240
231,stage1_layout,0.458906,0.339666,0.238481,5.00e-05,0.0803
232,stage1_layout,0.455261,0.338414,0.233694,5.00e-05,0.0841
233,stage1_layout,0.468446,0.347414,0.242064,5.00e-05,0.1232
234,stage1_layout,0.457016,0.339171,0.235689,5.00e-05,0.0885
235,stage1_layout,0.450816,0.336019,0.229594,5.00e-05,0.1011
236,stage1_layout,0.443294,0.329749,0.227089,5.00e-05,0.1599
237,stage1_layout,0.448656,0.333041,0.231230,5.00e-05,0.1792
238,stage1_layout,0.451065,0.335509,0.231111,5.00e-05,0.0720
239,stage1_layout,0.446289,0.329709,0.233161,5.00e-05,0.0964
240,stage1_layout,0.455629,0.338192,0.234875,5.00e-05,0.0785
241,stage1_layout,0.452656,0.337709,0.229893,5.00e-05,0.0789
242,stage1_layout,0.463047,0.345560,0.234976,5.00e-05,0.1347
243,stage1_layout,0.458412,0.340529,0.235765,5.00e-05,0.0926
244,stage1_layout,0.451587,0.337090,0.228993,5.00e-05,0.0735
245,stage1_layout,0.452602,0.335384,0.234437,5.00e-05,0.0856
246,stage1_layout,0.461909,0.345103,0.233612,5.00e-05,0.0948
247,stage1_layout,0.452512,0.334839,0.235347,5.00e-05,0.2265
248,stage1_layout,0.458176,0.342011,0.232330,5.00e-05,0.0742
249,stage1_layout,0.452688,0.337010,0.231356,5.00e-05,0.0698
250,stage1_layout,0.450934,0.335554,0.230760,5.00e-05,0.0749
251,stage1_layout,0.455480,0.340406,0.230148,5.00e-05,0.0656
252,stage1_layout,0.456193,0.340201,0.231985,5.00e-05,0.0891
253,stage1_layout,0.449843,0.335192,0.229302,5.00e-05,0.0856
254,stage1_layout,0.449227,0.334019,0.230417,5.00e-05,0.0626
255,stage1_layout,0.450499,0.334974,0.231050,5.00e-05,0.1242
256,stage1_layout,0.447785,0.331414,0.232742,5.00e-05,0.0889
257,stage1_layout,0.460907,0.343145,0.235524,5.00e-05,0.0830
258,stage1_layout,0.460536,0.343117,0.234838,5.00e-05,0.0682
259,stage1_layout,0.448243,0.334067,0.228352,5.00e-05,0.0784
260,stage1_layout,0.452585,0.336175,0.232821,5.00e-05,0.0985
261,stage1_layout,0.444471,0.329607,0.229728,5.00e-05,0.0826
262,stage1_layout,0.454259,0.338590,0.231337,5.00e-05,0.0703
263,stage1_layout,0.456990,0.340123,0.233734,5.00e-05,0.1509
264,stage1_layout,0.451719,0.336691,0.230055,5.00e-05,0.0726
265,stage1_layout,0.449136,0.335014,0.228244,5.00e-05,0.0907
266,stage1_layout,0.451523,0.336537,0.229970,5.00e-05,0.0902
267,stage1_layout,0.445900,0.332481,0.226839,5.00e-05,0.0797
268,stage1_layout,0.452648,0.336473,0.232351,5.00e-05,0.1318
269,stage1_layout,0.453613,0.338802,0.229622,5.00e-05,0.0861
270,stage1_layout,0.450540,0.335697,0.229688,5.00e-05,0.0638
271,stage1_layout,0.454297,0.337204,0.234187,5.00e-05,0.0970
272,stage1_layout,0.446654,0.331078,0.231153,5.00e-05,0.0647
273,stage1_layout,0.456537,0.340394,0.232286,5.00e-05,0.0667
274,stage1_layout,0.456360,0.338344,0.236032,5.00e-05,0.1130
275,stage1_layout,0.446130,0.332325,0.227611,5.00e-05,0.0809
276,stage1_layout,0.455994,0.338319,0.235352,5.00e-05,0.0681
277,stage1_layout,0.441303,0.328045,0.226516,5.00e-05,0.0629
278,stage1_layout,0.458148,0.342354,0.231588,5.00e-05,0.0685
279,stage1_layout,0.452186,0.335770,0.232833,5.00e-05,0.0711
280,stage1_layout,0.459281,0.342945,0.232673,5.00e-05,0.0870
281,stage1_layout,0.458816,0.338800,0.240032,5.00e-05,0.0862
282,stage1_layout,0.453497,0.338199,0.230595,5.00e-05,0.1552
283,stage1_layout,0.455082,0.339494,0.231177,5.00e-05,0.0708
284,stage1_layout,0.450869,0.336154,0.229431,5.00e-05,0.0590
285,stage1_layout,0.466130,0.346856,0.238548,5.00e-05,0.0605
286,stage1_layout,0.449581,0.333977,0.231208,5.00e-05,0.0696
287,stage1_layout,0.446058,0.330323,0.231470,5.00e-05,0.0896
288,stage1_layout,0.439729,0.325848,0.227761,5.00e-05,0.0824
289,stage1_layout,0.455035,0.339721,0.230627,5.00e-05,0.0786
290,stage1_layout,0.454306,0.338854,0.230906,5.00e-05,0.0671
291,stage1_layout,0.455453,0.339984,0.230940,5.00e-05,0.0728
292,stage1_layout,0.456861,0.339170,0.235383,5.00e-05,0.0929
293,stage1_layout,0.450988,0.336772,0.228431,5.00e-05,0.1069
294,stage1_layout,0.455202,0.339959,0.230487,5.00e-05,0.1010
295,stage1_layout,0.446583,0.330667,0.231832,5.00e-05,0.0829
296,stage1_layout,0.455280,0.339687,0.231186,5.00e-05,0.0926
297,stage1_layout,0.456828,0.339449,0.234759,5.00e-05,0.0967
298,stage1_layout,0.456171,0.340131,0.232080,5.00e-05,0.0985
299,stage1_layout,0.441561,0.328886,0.225351,5.00e-05,0.0695
300,stage1_layout,0.445095,0.332252,0.225686,5.00e-05,0.0698
301,stage1_layout,0.461225,0.345375,0.231701,5.00e-05,0.1365
302,stage1_layout,0.455517,0.339679,0.231677,5.00e-05,0.0793
303,stage1_layout,0.450541,0.336511,0.228061,5.00e-05,0.0872
304,stage1_layout,0.444830,0.331734,0.226192,5.00e-05,0.0895
305,stage1_layout,0.462015,0.344187,0.235657,5.00e-05,0.0998
306,stage1_layout,0.447640,0.333446,0.228387,5.00e-05,0.0746
307,stage1_layout,0.458679,0.342262,0.232833,5.00e-05,0.1020
308,stage1_layout,0.449576,0.335859,0.227434,5.00e-05,0.0800
309,stage1_layout,0.449380,0.335831,0.227099,5.00e-05,0.0666
310,stage1_layout,0.447839,0.333800,0.228079,5.00e-05,0.0816
311,stage1_layout,0.451427,0.335222,0.232410,5.00e-05,0.0808
312,stage1_layout,0.452847,0.337697,0.230300,5.00e-05,0.0824
313,stage1_layout,0.459753,0.341700,0.236107,5.00e-05,0.0875
314,stage1_layout,0.463490,0.346062,0.234857,5.00e-05,0.0861
315,stage1_layout,0.460881,0.342884,0.235994,5.00e-05,0.2093
316,stage1_layout,0.452272,0.337508,0.229528,5.00e-05,0.0752
317,stage1_layout,0.450260,0.336502,0.227516,5.00e-05,0.0940
318,stage1_layout,0.454027,0.338669,0.230717,5.00e-05,0.1196
319,stage1_layout,0.455387,0.339850,0.231075,5.00e-05,0.0925
320,stage1_layout,0.449151,0.335275,0.227753,5.00e-05,0.0786
321,stage1_layout,0.458922,0.340825,0.236193,5.00e-05,0.0868
322,stage1_layout,0.443866,0.329393,0.228948,5.00e-05,0.0704
323,stage1_layout,0.458196,0.339907,0.236579,5.00e-05,0.0743
324,stage1_layout,0.445826,0.332995,0.225663,5.00e-05,0.0862
325,stage1_layout,0.451037,0.336718,0.228638,5.00e-05,0.0763
326,stage1_layout,0.460634,0.343003,0.235263,5.00e-05,0.0626
327,stage1_layout,0.458343,0.342001,0.232683,5.00e-05,0.0862
328,stage1_layout,0.453140,0.338820,0.228641,5.00e-05,0.0890
329,stage1_layout,0.449032,0.333624,0.230816,5.00e-05,0.1045
330,stage1_layout,0.448174,0.335061,0.226227,5.00e-05,0.0654
331,stage1_layout,0.446066,0.331810,0.228511,5.00e-05,0.0657
332,stage1_layout,0.448214,0.335614,0.225200,5.00e-05,0.0545
333,stage1_layout,0.453223,0.337425,0.231596,5.00e-05,0.0904
334,stage1_layout,0.444932,0.332170,0.225525,5.00e-05,0.0747
335,stage1_layout,0.461136,0.341813,0.238647,5.00e-05,0.0641
336,stage1_layout,0.440511,0.328321,0.224380,5.00e-05,0.0747
337,stage1_layout,0.454857,0.340834,0.228046,5.00e-05,0.0965
338,stage1_layout,0.456522,0.340312,0.232421,5.00e-05,0.0949
339,stage1_layout,0.457451,0.340478,0.233945,5.00e-05,0.1452
340,stage1_layout,0.446914,0.332985,0.227859,5.00e-05,0.0865
341,stage1_layout,0.447223,0.333017,0.228412,5.00e-05,0.0583
342,stage1_layout,0.448509,0.334773,0.227472,5.00e-05,0.0599
343,stage1_layout,0.449401,0.334935,0.228931,5.00e-05,0.0802
344,stage1_layout,0.455951,0.341225,0.229451,5.00e-05,0.0712
345,stage1_layout,0.454997,0.339923,0.230148,5.00e-05,0.0684
346,stage1_layout,0.461163,0.343980,0.234365,5.00e-05,0.0797
347,stage1_layout,0.444507,0.332056,0.224902,5.00e-05,0.0599
348,stage1_layout,0.444680,0.332424,0.224512,5.00e-05,0.0710
349,stage1_layout,0.450852,0.336222,0.229261,5.00e-05,0.0600
350,stage1_layout,0.440949,0.328950,0.223998,5.00e-05,0.1135
