step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
186,0,0.485582,0.001238,0.486820,9.79e-06,0.0393,0.05,
187,0,0.483818,0.001248,0.485066,9.79e-06,0.0383,0.05,
188,0,0.480059,0.001258,0.481317,9.78e-06,0.0416,0.05,
189,0,0.481613,0.001266,0.482879,9.78e-06,0.0452,0.05,
190,0,0.482601,0.001274,0.483875,9.77e-06,0.0373,0.05,
191,0,0.478640,0.001281,0.479920,9.77e-06,0.0487,0.04,
192,0,0.479101,0.001288,0.480389,9.76e-06,0.0367,0.04,
193,0,0.477198,0.001293,0.478491,9.76e-06,0.0869,0.04,
194,0,0.483441,0.001298,0.484739,9.75e-06,0.0357,0.05,
195,0,0.478800,0.001303,0.480103,9.75e-06,0.0431,0.05,
196,0,0.480970,0.001306,0.482276,9.74e-06,0.0345,0.05,
197,0,0.478852,0.001310,0.480161,9.73e-06,0.0509,0.05,
198,0,0.477622,0.001312,0.478934,9.73e-06,0.0369,0.05,
199,0,0.482562,0.001313,0.483875,9.72e-06,0.0358,0.05,
200,0,0.474646,0.001314,0.475960,9.72e-06,0.0492,0.04,
201,0,0.480755,0.001313,0.482068,9.71e-06,0.0941,0.05,
202,0,0.482147,0.001313,0.483460,9.71e-06,0.0349,0.05,
203,0,0.480525,0.001315,0.481840,9.70e-06,0.0364,0.05,
203,0,,,,,,,1.656173
204,0,0.483604,0.001319,0.484923,9.69e-06,0.0522,0.02,
205,0,0.481974,0.001323,0.483297,9.69e-06,0.0384,0.04,
206,0,0.484401,0.001327,0.485728,9.68e-06,0.0333,0.04,
207,0,0.479369,0.001331,0.480700,9.68e-06,0.0378,0.04,
208,0,0.484386,0.001334,0.485720,9.67e-06,0.0330,0.04,
209,0,0.479327,0.001337,0.480664,9.66e-06,0.0376,0.04,
210,0,0.481273,0.001338,0.482611,9.66e-06,0.0550,0.05,
211,0,0.476499,0.001338,0.477837,9.65e-06,0.0534,0.05,
212,0,0.477667,0.001338,0.479005,9.65e-06,0.0358,0.05,
213,0,0.480037,0.001338,0.481376,9.64e-06,0.0359,0.04,
214,0,0.479545,0.001338,0.480883,9.63e-06,0.0329,0.04,
215,0,0.482448,0.001337,0.483785,9.63e-06,0.0400,0.05,
216,0,0.481860,0.001334,0.483194,9.62e-06,0.0323,0.05,
217,0,0.485325,0.001330,0.486655,9.61e-06,0.0366,0.05,
218,0,0.482140,0.001325,0.483465,9.61e-06,0.0618,0.05,
219,0,0.483642,0.001320,0.484962,9.60e-06,0.0341,0.05,
220,0,0.483121,0.001316,0.484438,9.59e-06,0.0356,0.05,
221,0,0.487420,0.001312,0.488732,9.59e-06,0.0378,0.05,
222,0,0.488249,0.001306,0.489555,9.58e-06,0.0331,0.05,
223,0,0.479298,0.001300,0.480598,9.57e-06,0.1023,0.04,
224,0,0.484759,0.001295,0.486054,9.57e-06,0.0323,0.04,
225,0,0.482637,0.001290,0.483927,9.56e-06,0.0344,0.05,
