step,epoch,loss_jepa,loss_total,lr,grad_norm,throughput,val_loss
228,3,0.468407,0.468407,4.96e-05,0.0968,0.08,
229,3,0.467192,0.467192,4.95e-05,0.1001,0.08,
230,3,0.457990,0.457990,4.95e-05,0.1445,0.10,
231,3,0.467704,0.467704,4.95e-05,0.1084,0.09,
232,3,0.463051,0.463051,4.95e-05,0.0998,0.07,
233,3,0.463195,0.463195,4.95e-05,0.1042,0.08,
234,3,0.470562,0.470562,4.95e-05,0.1041,0.08,
235,3,0.465200,0.465200,4.94e-05,0.0961,0.08,
236,3,0.456802,0.456802,4.94e-05,0.1497,0.08,
237,3,0.461202,0.461202,4.94e-05,0.0993,0.08,
238,3,0.465146,0.465146,4.94e-05,0.0848,0.08,
239,3,0.453847,0.453847,4.94e-05,0.0909,0.08,
239,3,,,,,,0.464153
240,3,0.463612,0.463612,4.94e-05,0.0964,0.01,
241,3,0.468696,0.468696,4.93e-05,0.1046,0.09,
242,3,0.474397,0.474397,4.93e-05,0.1096,0.09,
243,3,0.464486,0.464486,4.93e-05,0.1796,0.09,
244,3,0.462544,0.462544,4.93e-05,0.1134,0.08,
245,3,0.454350,0.454350,4.93e-05,0.1078,0.08,
246,3,0.454715,0.454715,4.92e-05,0.0798,0.08,
247,3,0.473394,0.473394,4.92e-05,0.1009,0.09,
248,3,0.472308,0.472308,4.92e-05,0.0903,0.09,
249,3,0.457946,0.457946,4.92e-05,0.1199,0.09,
250,3,0.462834,0.462834,4.92e-05,0.0794,0.08,
251,3,0.470978,0.470978,4.91e-05,0.0744,0.08,
252,3,0.461113,0.461113,4.91e-05,0.0994,0.08,
253,3,0.471574,0.471574,4.91e-05,0.0966,0.09,
254,3,0.452637,0.452637,4.91e-05,0.0891,0.08,
254,3,,,,,,0.463367
255,3,0.463370,0.463370,4.91e-05,0.0717,0.01,
256,3,0.458466,0.458466,4.90e-05,0.0937,0.07,
257,3,0.456047,0.456047,4.90e-05,0.0939,0.08,
258,3,0.456814,0.456814,4.90e-05,0.0887,0.08,
259,3,0.453635,0.453635,4.90e-05,0.0858,0.08,
260,3,0.467689,0.467689,4.89e-05,0.0874,0.08,
261,3,0.460160,0.460160,4.89e-05,0.1063,0.08,
262,3,0.463504,0.463504,4.89e-05,0.0875,0.08,
263,3,0.462682,0.462682,4.89e-05,0.0657,0.09,
264,3,0.465026,0.465026,4.88e-05,0.0823,0.09,
265,3,0.461837,0.461837,4.88e-05,0.0845,0.08,
266,3,0.463684,0.463684,4.88e-05,0.0917,0.09,
267,3,0.467717,0.467717,4.88e-05,0.0828,0.09,
268,3,0.460707,0.460707,4.87e-05,0.0833,0.09,
269,3,0.454487,0.454487,4.87e-05,0.0876,0.08,
269,3,,,,,,0.458872
270,3,0.458078,0.458078,4.87e-05,0.0711,0.01,
271,3,0.456006,0.456006,4.87e-05,0.1105,0.07,
272,3,0.469120,0.469120,4.86e-05,0.0813,0.08,
273,3,0.466831,0.466831,4.86e-05,0.0774,0.08,
274,3,0.466639,0.466639,4.86e-05,0.0854,0.08,
