step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
249,3,1.489862,0.002166,1.492028,3.71e-06,0.1062,0.03
250,3,1.501109,0.002164,1.503273,3.66e-06,0.1028,0.04
251,3,1.497765,0.002162,1.499927,3.62e-06,0.1026,0.04
252,3,1.516890,0.002160,1.519050,3.58e-06,0.0835,0.04
253,3,1.501590,0.002158,1.503748,3.54e-06,0.0984,0.04
254,3,1.498995,0.002155,1.501150,3.50e-06,0.0862,0.04
255,3,1.502270,0.002152,1.504422,3.45e-06,0.0868,0.04
256,3,1.498933,0.002149,1.501082,3.41e-06,0.1981,0.03
257,3,1.497762,0.002147,1.499909,3.37e-06,0.1305,0.04
258,3,1.517074,0.002144,1.519219,3.33e-06,0.0902,0.04
259,3,1.526260,0.002142,1.528401,3.29e-06,0.1077,0.04
260,3,1.523113,0.002139,1.525253,3.25e-06,0.0963,0.04
261,3,1.513790,0.002137,1.515927,3.21e-06,0.0943,0.04
262,3,1.506803,0.002135,1.508938,3.17e-06,0.0866,0.04
263,3,1.521030,0.002132,1.523163,3.13e-06,0.0883,0.04
264,3,1.488317,0.002130,1.490447,3.09e-06,0.1071,0.03
265,3,1.509738,0.002128,1.511866,3.05e-06,0.1564,0.05
266,3,1.501147,0.002125,1.503272,3.01e-06,0.0974,0.04
267,3,1.512233,0.002121,1.514354,2.97e-06,0.0894,0.04
268,3,1.516403,0.002118,1.518522,2.93e-06,0.1592,0.04
269,3,1.522385,0.002115,1.524500,2.89e-06,0.0817,0.04
270,3,1.520135,0.002112,1.522247,2.85e-06,0.0945,0.04
271,3,1.520557,0.002108,1.522665,2.81e-06,0.0981,0.04
272,3,1.527550,0.002104,1.529654,2.77e-06,0.0892,0.03
273,3,1.523575,0.002101,1.525676,2.73e-06,0.0768,0.04
274,3,1.523842,0.002097,1.525939,2.69e-06,0.1018,0.04
275,3,1.513216,0.002093,1.515309,2.65e-06,0.0787,0.04
276,3,1.512353,0.002090,1.514443,2.61e-06,0.0687,0.04
